time,velocity,gamma,altitude
1.920000000000000000e+02,8.450178996906573730e+02,4.835196909703687318e+00,7.542007514407762210e+04
1.930000000000000000e+02,8.415402139324576183e+02,4.841832864861430608e+00,7.549870875584299210e+04
1.940000000000000000e+02,8.380882066455061477e+02,4.848349267234247861e+00,7.557655132047740335e+04
1.950000000000000000e+02,8.346621259384096447e+02,4.854746556189312834e+00,7.565357338128672563e+04
1.960000000000000000e+02,8.312623245671492214e+02,4.861025108608989953e+00,7.572973801702195487e+04
1.970000000000000000e+02,8.278892599350805312e+02,4.867185238890835208e+00,7.580500084187916946e+04
1.980000000000000000e+02,8.245434940929338836e+02,4.873227198947596150e+00,7.587931000549954479e+04
1.990000000000000000e+02,8.212256937388143569e+02,4.879151178207211004e+00,7.595260619296935329e+04
2.000000000000000000e+02,8.179366302182013442e+02,4.884957303612809554e+00,7.602482262481994985e+04
2.010000000000000000e+02,8.146771795239492349e+02,4.890645639622710483e+00,7.609588505702783004e+04
2.020000000000000000e+02,8.114483222962865057e+02,4.896216188210426701e+00,7.616571178101454279e+04
2.030000000000000000e+02,8.082511438228168572e+02,4.901668888864660012e+00,7.623421362364674860e+04
2.040000000000000000e+02,8.050868340385180773e+02,4.907003618589303784e+00,7.630129394723620499e+04
2.050000000000000000e+02,8.019566875257428364e+02,4.912220191903442057e+00,7.636684864953976648e+04
2.060000000000000000e+02,7.988621035142183473e+02,4.917318360841351321e+00,7.643076616375939921e+04
2.070000000000000000e+02,7.958045858810464779e+02,4.922297814952496964e+00,7.649292745854213717e+04
2.080000000000000000e+02,7.927857431507036381e+02,4.927158181301537709e+00,7.655320603798012598e+04
2.090000000000000000e+02,7.898072884950408934e+02,4.931899024468320292e+00,7.661146794161062280e+04
2.100000000000000000e+02,7.868710397332838511e+02,4.936519846547886559e+00,7.666757174441596726e+04
2.110000000000000000e+02,7.839751332380785698e+02,4.941021741506083309e+00,7.672168951353339071e+04
2.120000000000000000e+02,7.811139696740524414e+02,4.945407876214423126e+00,7.677427608082193183e+04
2.130000000000000000e+02,7.782858778266291893e+02,4.949679976594677733e+00,7.682543219052489439e+04
2.140000000000000000e+02,7.754893007968516940e+02,4.953839699141352249e+00,7.687525062044132210e+04
2.150000000000000000e+02,7.727227629068289616e+02,4.957888644331367445e+00,7.692381906870997045e+04
2.160000000000000000e+02,7.699848696997368052e+02,4.961828356624060632e+00,7.697122015380930679e+04
2.170000000000000000e+02,7.672743079398172767e+02,4.965660324461188324e+00,7.701753141455748118e+04
2.180000000000000000e+02,7.645898456123791220e+02,4.969385980266923575e+00,7.706282531011235551e+04
2.190000000000000000e+02,7.619303319237974392e+02,4.973006700447857753e+00,7.710716921997148893e+04
2.200000000000000000e+02,7.592946973015137928e+02,4.976523805392997879e+00,7.715062544397216698e+04
2.210000000000000000e+02,7.566819533940363272e+02,4.979938559473771065e+00,7.719325120229131426e+04
2.220000000000000000e+02,7.540911930709395392e+02,4.983252171044019185e+00,7.723509863544561085e+04
2.230000000000000000e+02,7.515215904228646195e+02,4.986465792440002431e+00,7.727621480429143412e+04
2.240000000000000000e+02,7.489724007615191113e+02,4.989580519980399309e+00,7.731664169002482959e+04
2.250000000000000000e+02,7.464429606196770237e+02,4.992597393966305752e+00,7.735641619418155460e+04
2.260000000000000000e+02,7.439326877511789462e+02,4.995517398681234233e+00,7.739557013863710745e+04
2.270000000000000000e+02,7.414410811309318206e+02,4.998341462391113765e+00,7.743413026560662547e+04
