time,v, gamma, altitude, skin_temp
5.880000000000000426e+01,2.091182755680414630e+03,1.313731280015867364e+00,3.474345881053181802e+04,3.220874557859513061e+02
5.890000000000000568e+01,2.090172010308946028e+03,1.315173464447305651e+00,3.474707115353757399e+04,3.221048306638625149e+02
5.900000000000000000e+01,2.089162325633651562e+03,1.316613240165465104e+00,3.475071129995702358e+04,3.221221713371531337e+02
5.910000000000000142e+01,2.088153715762706724e+03,1.318050595537161529e+00,3.475437751964013296e+04,3.221394777462770094e+02
5.920000000000000284e+01,2.087146193518470682e+03,1.319485519351486724e+00,3.475806832040013978e+04,3.221567498355456678e+02
5.930000000000000426e+01,2.086139770437483094e+03,1.320918000819806926e+00,3.476178244801360415e+04,3.221739875531286543e+02
5.940000000000000568e+01,2.085134456770465476e+03,1.322348029575764139e+00,3.476551888622035040e+04,3.221911908510530225e+02
5.950000000000000000e+01,2.084130261482320293e+03,1.323775595675275252e+00,3.476927685672353255e+04,3.222083596852038454e+02
5.960000000000000142e+01,2.083127192252132772e+03,1.325200689596532699e+00,3.477305581918957614e+04,3.222254940153239886e+02
5.970000000000000284e+01,2.082125255473168181e+03,1.326623302240004243e+00,3.477685547124821460e+04,3.222425938050139962e+02
5.980000000000000426e+01,2.081124456252875007e+03,1.328043424928432525e+00,3.478067574849247467e+04,3.222596590217323183e+02
5.990000000000000568e+01,2.080124798412881319e+03,1.329461049406835516e+00,3.478451682447866915e+04,3.222766896367950835e+02
6.000000000000000000e+01,2.079126284488998863e+03,1.330876167842506508e+00,3.478837911072643328e+04,3.222936856253763835e+02
6.010000000000000142e+01,2.078128915731219422e+03,1.332288772825014123e+00,3.479226325671866653e+04,3.223106469665080454e+02
6.020000000000000284e+01,2.077132692103717091e+03,1.333698857366202306e+00,3.479617014990158350e+04,3.223275736430795746e+02
6.030000000000000426e+01,2.076137612284846909e+03,1.335106414900189886e+00,3.480010091568468488e+04,3.223444656418384966e+02
6.040000000000000568e+01,2.075143673667145777e+03,1.336511439283371239e+00,3.480405691744078649e+04,3.223613229533899585e+02
6.050000000000000000e+01,2.074150872357332901e+03,1.337913924794415843e+00,3.480803975650596840e+04,3.223781455721969564e+02
6.060000000000000142e+01,2.073159203176307074e+03,1.339313866134268505e+00,3.481205127217963309e+04,3.223949334965803359e+02
6.070000000000000284e+01,2.072168659659150762e+03,1.340711258426149133e+00,3.481609354172446911e+04,3.224116867287187347e+02
